id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1381380,"43qm Studio im Kollwitzkiez, voll möbliert",6946488,Mirko,Pankow,Prenzlauer Berg Südwest,52.53564,13.41796,Entire home/apt,55,5,2,2019-02-09,0.47,2,0
1385158,1-room apart. Berlin-Kreuzberg 28m,214527,Can,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50292,13.39176,Entire home/apt,53,4,54,2019-03-19,0.88,1,1
1385732,Apartment with/in heart of Berlin,7498147,Johannes,Mitte,Moabit West,52.52762,13.31718,Entire home/apt,165,3,17,2019-03-10,0.38,1,362
1389205,Altbauloft am Kanal in Kreuzberg,300965,Daniel,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49244,13.42102,Entire home/apt,129,4,24,2017-11-01,0.35,2,133
1390729,"Beautiful, cozy, central, clean Apt",6823092,Thomas,Pankow,Helmholtzplatz,52.5404,13.41556,Entire home/apt,59,1,81,2019-05-08,1.15,1,64
1392487,50sqm apartment in 100yr-old house,1711877,Rainer,Steglitz - Zehlendorf,Albrechtstr.,52.46279,13.32883,Entire home/apt,65,2,65,2019-04-28,0.94,1,143
1393078,"Schönes, sonniges Zimmer, messe-nah",7530729,Jutta,Charlottenburg-Wilm.,Westend,52.50963,13.26172,Private room,38,3,109,2019-04-20,1.55,1,281
1393484,Quiet 1 1/2 br Prenzlauer Berg 53m2,7345295,Marleen,Pankow,Helmholtzplatz,52.54232,13.42287,Shared room,43,3,19,2018-10-16,0.32,2,86
1396645,Stunning Apt. P´Berg BERLIN CITY,5150498,Andreas,Pankow,Prenzlauer Berg Südwest,52.53162,13.41082,Entire home/apt,78,6,14,2017-06-06,0.20,1,133
1396712,Lovely French flair in lively Xberg,7545909,Poca,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49394,13.42853,Entire home/apt,62,4,71,2019-01-24,1.01,1,192
1400305,Dream Room in beautiful Penthouse,283107,Cassis & Mike,Pankow,Prenzlauer Berg Nordwest,52.55037,13.41209,Private room,55,1,25,2019-05-07,1.33,1,151
1400743,cozy 2-room apartment - perfect for a long stay.,7563769,Knut,Neukölln,Neuköllner Mitte/Zentrum,52.46952,13.43276,Entire home/apt,45,60,4,2017-10-01,0.06,1,298
1402056,be my guest - quiet room in flat in Prenzl. Berg,7568471,Luise,Pankow,Prenzlauer Berg Nord,52.54222,13.43565,Private room,21,4,19,2019-05-06,0.32,1,266
1405939,Charming Large Bright Room Neukölln Sleeps 6+,7585649,Bee,Neukölln,Neuköllner Mitte/Zentrum,52.46483,13.43732,Private room,40,1,242,2019-04-25,3.45,2,241
1407846,Welcome to our home :),2740485,Celine & Jeremy,Mitte,Alexanderplatz,52.52271,13.37644,Private room,65,3,54,2017-09-23,0.81,1,0
